Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-06-30 00:00:00-04:00,35.89693509219635,35.93098560987863,35.49685287475586,35.49685287475586,30793100,0.0,0.0
2014-07-01 00:00:00-04:00,35.63304478198225,35.879906116409614,35.48833173353896,35.64155578613281,26917000,0.0,0.0
2014-07-02 00:00:00-04:00,35.52238973476362,35.6671028137207,35.35214039073488,35.6671028137207,20208100,0.0,0.0
2014-07-03 00:00:00-04:00,35.675611324569786,35.74371235631286,35.37767742878363,35.581974029541016,15969300,0.0,0.0
2014-07-07 00:00:00-04:00,35.53942111085542,35.85438034081517,35.50537058674175,35.74372100830078,21952400,0.0,0.0
2014-07-08 00:00:00-04:00,35.64155342747696,35.75221595752374,35.42023161461866,35.56494140625,31218200,0.0,0.0
2014-07-09 00:00:00-04:00,35.73520011859181,35.74371437165772,35.35213991152865,35.4713134765625,18445900,0.0,0.0
2014-07-10 00:00:00-04:00,35.21593703921711,35.752221267454935,34.9435394226725,35.48833465576172,21854700,0.0,0.0
2014-07-11 00:00:00-04:00,35.49685013004926,35.828834533691406,35.30957554451335,35.828834533691406,24083000,0.0,0.0
2014-07-14 00:00:00-04:00,35.93950378327168,36.13528941044736,35.78627968422351,35.871402740478516,21881100,0.0,0.0
2014-07-15 00:00:00-04:00,36.03314753271244,36.15232113166067,35.77777182383821,36.13529586791992,28748700,0.0,0.0
2014-07-16 00:00:00-04:00,36.18635671935034,37.718597488549186,36.16082045560902,37.52281188964844,63318000,0.0,0.0
2014-07-17 00:00:00-04:00,38.689010273312654,38.910332111904225,37.66751762059515,37.90586471557617,82180300,0.0,0.0
2014-07-18 00:00:00-04:00,38.00800596632852,38.16974098739819,37.66750742517316,38.04205322265625,43407500,0.0,0.0
2014-07-21 00:00:00-04:00,37.93140691641971,38.44215165541695,37.64198403172505,38.16975402832031,37604400,0.0,0.0
2014-07-22 00:00:00-04:00,38.305957088188855,38.43364491071063,37.95694738683036,38.16124725341797,43095800,0.0,0.0
2014-07-23 00:00:00-04:00,38.6890084676638,38.6890084676638,37.98247497303654,38.19528579711914,52362900,0.0,0.0
2014-07-24 00:00:00-04:00,38.246369797050974,38.305956580842285,37.72711075495288,37.79521179199219,30725300,0.0,0.0
2014-07-25 00:00:00-04:00,37.7100798123764,38.01652793839588,37.7100798123764,37.88032913208008,26737700,0.0,0.0
2014-07-28 00:00:00-04:00,37.761156915027215,37.88884147388412,37.395122001279645,37.42917251586914,29684200,0.0,0.0
2014-07-29 00:00:00-04:00,37.37810161449367,37.53132570287628,37.14826548191976,37.36107635498047,27763100,0.0,0.0
2014-07-30 00:00:00-04:00,37.514294468551334,37.53983073013593,36.850325689466224,37.09718704223633,31921400,0.0,0.0
2014-07-31 00:00:00-04:00,36.926936743030325,37.19082009837443,36.671564392243674,36.739662170410156,31537500,0.0,0.0
2014-08-01 00:00:00-04:00,36.7822288008188,36.816279318253265,36.26296977526948,36.48429489135742,31170300,0.0,0.0
2014-08-04 00:00:00-04:00,36.57793109126965,37.00355280469941,36.44173227286156,36.918426513671875,34277400,0.0,0.0
2014-08-05 00:00:00-04:00,36.86734776027006,36.995032304394506,36.45875137404804,36.67156219482422,26266400,0.0,0.0
2014-08-06 00:00:00-04:00,36.382144927978516,36.748176608388896,35.93098371062615,36.382144927978516,24634000,0.0,0.0
2014-08-07 00:00:00-04:00,36.46725959151676,36.98651847409008,36.3055245490903,36.79924392700195,30314900,0.0,0.0
2014-08-08 00:00:00-04:00,36.79923696670784,36.87584897173194,36.52683944822983,36.77370071411133,28942700,0.0,0.0
2014-08-11 00:00:00-04:00,36.824773219304355,36.98651147837443,36.62047670406313,36.77370071411133,20351600,0.0,0.0
2014-08-12 00:00:00-04:00,36.63751563031577,37.10569883700334,36.60346511598757,37.046112060546875,21431100,0.0,0.0
2014-08-13 00:00:00-04:00,37.182313219329586,37.60793493361016,37.046114400649245,37.52281188964844,22889500,0.0,0.0
2014-08-14 00:00:00-04:00,37.5228047433032,37.81222433654651,37.46321472719594,37.684539794921875,19313200,0.0,0.0
2014-08-15 00:00:00-04:00,37.948429315769125,38.22082692234897,37.795205256163506,38.12718963623047,41611300,0.0,0.0
2014-08-18 00:00:00-04:00,38.25488407549913,38.39959716796875,38.0335621806612,38.39959716796875,26891100,0.0,0.0
2014-08-19 00:00:00-04:00,38.51950726828288,38.83643357824773,38.3995893816755,38.8278694152832,28139500,0.28,0.0
2014-08-20 00:00:00-04:00,38.83643446745639,38.88782924897231,38.459549205558595,38.502376556396484,24770500,0.0,0.0
2014-08-21 00:00:00-04:00,38.40815265987359,38.75934214864125,38.39958849710635,38.733646392822266,22285500,0.0,0.0
2014-08-22 00:00:00-04:00,38.84500020619842,38.94778977339948,38.6051644177644,38.67369079589844,18294500,0.0,0.0
2014-08-25 00:00:00-04:00,38.88783815652831,38.92209808453566,38.57947593183493,38.690826416015625,16910000,0.0,0.0
2014-08-26 00:00:00-04:00,38.81074263872797,38.88783318504594,38.49381302191091,38.55377197265625,14873100,0.0,0.0
2014-08-27 00:00:00-04:00,38.45954454141958,38.545199232707674,38.33962339909241,38.43384552001953,21287900,0.0,0.0
2014-08-28 00:00:00-04:00,38.33107102723046,38.52807949180456,38.21115311553475,38.44242477416992,17657600,0.0,0.0
2014-08-29 00:00:00-04:00,38.62229785644253,38.922092606299714,38.42528941117671,38.91352844238281,21607600,0.0,0.0
2014-09-02 00:00:00-04:00,38.913537477288386,38.93923324252282,38.41673089929963,38.62230682373047,22976800,0.0,0.0
2014-09-03 00:00:00-04:00,38.14261189819895,38.63941821638033,38.14261189819895,38.51093292236328,33684500,0.0,0.0
2014-09-04 00:00:00-04:00,38.322501611965066,38.77647743476258,38.30537001728171,38.76791000366211,26475500,0.0,0.0
2014-09-05 00:00:00-04:00,38.63942154797499,39.34180047612453,38.63942154797499,39.324668884277344,36939400,0.0,0.0
2014-09-08 00:00:00-04:00,39.41889907991854,40.087014961225016,39.39320332064297,39.804351806640625,45736700,0.0,0.0
2014-09-09 00:00:00-04:00,39.80434589212961,40.2326259098456,39.761515276344234,40.0527458190918,40302400,0.0,0.0
2014-09-10 00:00:00-04:00,40.10413763452924,40.20692391628214,39.641594465365685,40.12126922607422,27302400,0.0,0.0
2014-09-11 00:00:00-04:00,40.03561189965261,40.25831604003906,39.804340330299304,40.25831604003906,29216400,0.0,0.0
2014-09-12 00:00:00-04:00,40.18123487220933,40.2754570076815,39.91570006019843,40.00135803222656,38244700,0.0,0.0
2014-09-15 00:00:00-04:00,39.86430531187179,40.00991895123539,39.487416800545276,39.607337951660156,37667600,0.0,0.0
2014-09-16 00:00:00-04:00,39.735819520886785,40.129836352981364,39.650164824350476,40.0527458190918,27910600,0.0,0.0
2014-09-17 00:00:00-04:00,39.62446435256826,39.9927854157383,39.598768598050334,39.847171783447266,38311900,0.0,0.0
